Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40
Tiffany Mitchell,MIN,G,33,763,33,763,6.7,.496,.434,.211,.310,2.8,5.8,16.2,1.1,0.3,22.4,18.5,89,111,,-0.7,0.1,-0.6,-0.032
Olivia Nelson-Ododa,CON,C,39,585,39,585,14.8,.588,.537,.000,.537,10.2,14.7,6.2,1.8,5.1,16.7,13.9,112,98,,1.0,1.3,2.3,.157
Kia Nurse,SEA,G,40,789,40,789,7.9,.478,.451,.614,.116,1.7,6.5,11.3,1.5,0.2,10.6,15.4,96,109,,0.0,0.4,0.5,.023
Arike Ogunbowale,DAL,G,40,1489,40,1489,16.7,.518,.475,.453,.203,1.4,5.1,20.1,2.3,0.2,11.4,26.2,107,108,,3.2,1.0,4.2,.113
Chiney Ogwumike,LAS,F-C,10,212,10,212,12.7,.476,.437,.165,.266,7.7,12.2,11.2,3.1,1.3,12.0,21.6,94,100,,-0.1,0.4,0.3,.065
Nneka Ogwumike,LAS,F,36,1119,36,1119,25.3,.587,.532,.120,.312,6.2,17.1,18.4,2.8,2.2,12.0,27.3,110,98,,3.1,2.5,5.6,.201
Michaela Onyenwere,PHO,F,40,953,40,953,9.4,.498,.458,.345,.245,6.4,9.6,9.4,1.6,1.7,18.5,21.5,89,111,,-1.0,0.3,-0.7,-0.030
Candace Parker,LVA,F-C,18,425,18,425,19.7,.573,.531,.395,.217,4.6,13.2,22.6,3.1,3.1,18.0,18.2,111,95,,0.9,1.1,2.1,.193
Cheyenne Parker,ATL,F,40,1066,40,1066,21.0,.550,.498,.112,.304,9.2,14.1,13.2,2.0,4.7,14.3,26.1,104,99,,1.6,2.1,3.7,.139
Robyn Parks,CHI,F,37,505,37,505,8.1,.510,.496,.626,.050,3.4,6.9,4.8,1.2,0.8,11.8,14.3,97,109,,0.1,0.3,0.3,.028
Shey Peddy,PHO,G,18,285,18,285,13.1,.506,.464,.548,.238,3.1,7.0,19.3,2.9,0.0,9.7,16.9,107,109,,0.4,0.1,0.5,.074
Kelsey Plum,LVA,G,39,1265,39,1265,20.3,.618,.566,.466,.282,0.9,4.3,21.8,1.7,0.0,12.2,23.9,117,104,,4.7,1.6,6.3,.199
Aerial Powers,MIN,G,20,195,20,195,14.3,.507,.446,.207,.261,3.6,10.7,14.4,0.8,0.9,14.9,28.0,94,109,,-0.1,0.1,0.0,.003
Epiphanny Prince,NYL,G,10,71,10,71,6.9,.551,.500,.667,.200,1.7,4.8,15.8,1.4,1.2,30.0,14.6,92,105,,0.0,0.1,0.1,.029
Danielle Robinson,ATL,G,32,690,32,690,10.7,.534,.490,.201,.312,1.3,5.6,24.0,1.6,0.4,19.7,13.8,103,106,,0.5,0.7,1.2,.071
Iliana Rupert,ATL,C,20,158,20,158,8.8,.466,.441,.647,.235,5.0,13.9,9.7,2.2,3.8,21.0,13.2,88,99,,-0.1,0.3,0.2,.050
Mercedes Russell,SEA,C,37,705,37,705,10.1,.532,.516,.006,.242,6.2,12.0,11.8,1.1,2.0,24.0,14.4,93,107,,-0.2,0.6,0.4,.021
Nyara Sabally,NYL,C,33,260,33,260,8.8,.520,.441,.153,.542,8.8,15.3,3.8,0.8,2.2,19.8,15.6,98,101,,0.1,0.4,0.5,.076
Satou Sabally,DAL,F,38,1258,38,1258,21.9,.562,.495,.336,.350,7.6,13.9,21.5,2.7,1.1,14.9,24.8,114,103,,4.2,1.7,5.9,.187
Karlie Samuelson,LAS,G,34,888,34,888,11.9,.654,.602,.650,.288,1.4,6.9,12.4,1.3,0.3,13.1,11.8,120,106,,1.9,0.9,2.8,.124
Victaria Saxton,IND,F,15,54,15,54,1.7,.451,.361,.111,.389,4.4,11.2,0.0,1.0,0.0,22.2,22.5,77,110,,-0.2,0.0,-0.1,-0.109
Jessica Shepard,MIN,F,21,565,21,565,15.8,.573,.516,.016,.421,8.9,15.2,19.0,1.1,0.3,16.7,14.4,116,108,,1.3,0.4,1.7,.121
Maddy Siegrist,DAL,F,39,319,39,319,19.2,.585,.531,.134,.259,12.6,10.9,4.0,1.3,1.9,6.7,17.7,126,109,,1.2,0.2,1.4,.175
Jennie Simms,PHO,G,6,70,6,70,2.4,.381,.286,.357,.500,7.3,11.5,6.6,1.5,0.0,26.0,15.4,72,111,,-0.2,0.0,-0.2,-0.105
Odyssey Sims,DAL,G,28,335,28,335,7.1,.353,.319,.217,.290,2.7,6.3,24.9,1.8,0.0,17.9,11.9,93,109,,-0.1,0.2,0.1,.010
Kadi Sissoko,PHO,F,40,336,40,336,1.7,.427,.395,.290,.258,6.4,11.4,3.7,0.5,1.3,27.4,13.2,73,112,,-0.8,0.0,-0.8,-0.091
Alanna Smith,CHI,F,38,1007,38,1007,17.1,.580,.555,.385,.306,8.0,14.6,10.7,2.5,4.1,15.7,15.8,110,101,,1.8,1.8,3.5,.140
NaLyssa Smith,IND,F,31,885,31,885,16.5,.534,.501,.170,.315,8.6,19.6,9.3,0.6,1.0,15.8,27.0,99,107,,0.5,0.7,1.2,.053
