Player,Team,Pos,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Aneika Henry-Morello,ATL,F-C,34,4,12.8,1.9,3.2,0.582,0.0,0.0,,1.9,3.2,0.582,0.7,1.1,0.676,1.4,3.4,0.3,0.2,0.7,0.9,1.7,4.5
Allison Hightower,CON,G,14,10,23.9,2.9,7.4,0.394,0.4,1.9,0.222,2.5,5.5,0.455,1.4,1.6,0.909,0.7,2.2,1.4,1.3,0.3,0.9,2.4,7.7
Tayler Hill,WAS,G,5,0,7.8,0.2,2.6,0.077,0.2,1.4,0.143,0.0,1.2,0.0,0.4,0.4,1.0,0.0,0.2,0.4,0.2,0.0,0.0,0.0,1.0
Roneeka Hodges,TUL,G,34,34,21.2,1.9,5.4,0.346,0.9,3.3,0.259,1.0,2.1,0.479,0.7,0.9,0.793,0.6,1.8,1.4,0.5,0.1,0.6,2.0,5.3
Ebony Hoffman,CON,F,8,0,8.5,0.8,2.3,0.333,0.0,0.1,0.0,0.8,2.1,0.353,0.0,0.0,,0.8,1.8,0.5,0.6,0.0,0.8,1.5,1.5
Jordan Hooper,TUL,F,34,1,19.0,2.0,5.6,0.354,1.4,4.1,0.329,0.6,1.5,0.423,0.4,0.6,0.714,0.7,2.4,0.6,0.4,0.2,0.8,1.4,5.8
Charde Houston,NYL,F,17,0,8.4,1.4,3.0,0.451,0.1,0.5,0.125,1.3,2.5,0.512,0.5,0.8,0.692,0.4,1.0,0.6,0.5,0.4,0.9,1.5,3.3
Natasha Howard,IND,F,34,15,16.9,2.9,6.5,0.443,0.0,0.0,0.0,2.9,6.5,0.445,1.2,2.0,0.594,1.5,3.1,0.6,0.8,0.7,1.5,2.6,7.0
Tiffany Jackson-Jones,TUL,F,7,0,10.1,0.9,2.1,0.4,0.0,0.0,,0.9,2.1,0.4,0.4,0.6,0.75,0.4,1.9,0.1,0.6,0.1,0.6,1.3,2.1
Briann January,IND,G,31,31,28.9,3.5,9.1,0.387,1.2,3.0,0.383,2.4,6.1,0.388,2.1,2.4,0.88,0.4,1.6,3.7,1.2,0.3,2.3,2.4,10.3
Chucky Jeffery,NYL,G,15,0,4.8,0.5,1.1,0.412,0.0,0.1,0.0,0.5,1.1,0.438,0.1,0.3,0.25,0.2,1.0,0.2,0.4,0.1,0.3,0.5,1.0
Anete Jekabsone-Zogota,PHO,G,32,0,10.7,1.0,3.0,0.32,0.5,1.5,0.306,0.5,1.5,0.333,0.3,0.3,1.0,0.1,0.5,0.9,0.2,0.0,0.8,1.0,2.7
Glory Johnson,TUL,F,33,33,32.4,5.2,11.7,0.449,0.0,0.1,0.0,5.2,11.6,0.453,4.2,5.5,0.76,2.9,9.2,1.4,1.4,0.4,2.6,3.2,14.7
Shenise Johnson,SAS,G,30,1,17.9,2.3,5.7,0.4,0.5,1.4,0.372,1.7,4.2,0.409,1.0,1.2,0.829,1.0,3.3,1.4,1.0,0.1,1.1,1.0,6.0
Temeka Johnson,SEA,G,34,3,17.0,2.1,5.9,0.361,0.5,1.5,0.34,1.6,4.5,0.368,1.0,1.1,0.921,0.2,2.1,3.2,0.7,0.1,1.6,1.2,5.8
Lynetta Kizer,IND,F,31,1,9.0,1.7,4.0,0.431,0.0,0.0,,1.7,4.0,0.431,0.4,0.7,0.619,0.9,2.4,0.1,0.3,0.3,0.8,1.8,3.8
Ewelina Kobryn,PHO,C,20,0,6.9,0.5,1.8,0.286,0.0,0.2,0.0,0.5,1.6,0.323,0.6,0.9,0.611,0.3,1.1,0.2,0.3,0.1,0.3,1.2,1.6
Jennifer Lacy,TUL,F,34,1,10.5,1.2,3.3,0.369,0.6,1.7,0.322,0.6,1.5,0.423,0.5,0.9,0.581,0.5,1.5,0.3,0.2,0.1,0.8,1.9,3.5
Natasha Lacy,NYL,G,11,0,7.5,0.6,1.3,0.5,0.0,0.2,0.0,0.6,1.1,0.583,0.3,0.7,0.375,0.0,0.8,0.9,1.0,0.0,0.3,0.4,1.5
Crystal Langhorne,SEA,F-C,34,34,28.9,5.3,9.3,0.571,0.1,0.1,0.667,5.2,9.2,0.571,2.2,3.4,0.658,1.7,7.4,1.0,0.6,0.4,2.0,2.2,12.9
Erlana Larkins,IND,F,33,33,31.6,3.8,6.3,0.599,0.0,0.0,,3.8,6.3,0.599,2.2,3.1,0.716,3.0,9.2,2.5,1.9,0.8,2.2,3.2,9.7
Ivory Latta,WAS,G,34,33,31.7,4.1,10.4,0.395,2.4,6.3,0.377,1.7,4.1,0.424,2.2,2.6,0.833,0.5,2.4,3.3,0.7,0.0,1.9,1.6,12.8
Jantel Lavender,LAS,F,34,27,28.3,5.1,9.7,0.527,0.0,0.1,0.2,5.1,9.6,0.532,1.6,2.0,0.794,1.9,6.3,1.5,0.5,0.8,1.9,1.9,11.9
Kara Lawson,WAS,G,28,4,21.8,2.5,6.5,0.379,1.0,3.1,0.337,1.4,3.4,0.417,1.0,1.1,0.935,0.4,2.9,2.5,0.3,0.0,1.3,1.1,7.0
Tricia Liston,MIN,F,25,0,7.2,0.7,1.8,0.4,0.6,1.2,0.467,0.2,0.6,0.267,0.2,0.2,0.667,0.1,1.1,0.3,0.0,0.1,0.1,0.5,2.2
Camille Smith,SEA,F,33,33,30.8,4.4,9.9,0.448,0.8,2.4,0.338,3.6,7.5,0.484,3.2,4.0,0.797,1.2,4.3,1.6,1.0,0.4,2.4,2.5,12.9
Maggie Lucas,IND,G,30,0,10.3,1.1,3.4,0.333,0.7,2.2,0.308,0.5,1.2,0.378,0.7,0.8,0.957,0.1,0.9,0.7,0.3,0.2,0.4,1.2,3.7
Sancho Lyttle,ATL,F,34,34,31.3,5.3,11.5,0.459,0.1,0.3,0.273,5.2,11.1,0.464,1.6,2.4,0.663,2.5,9.0,2.4,2.2,0.6,1.4,2.7,12.2
Kayla McBride,SAS,G,34,34,26.0,4.5,11.1,0.406,1.7,4.2,0.396,2.9,6.9,0.413,2.3,2.7,0.846,0.6,2.3,1.7,1.0,0.1,1.2,1.1,13.0
Janel McCarville,MIN,F-C,34,34,27.1,3.1,6.9,0.457,0.2,0.7,0.333,2.9,6.2,0.471,1.4,1.9,0.738,1.1,4.8,3.1,1.2,0.9,1.7,2.3,7.9
Angel McCoughtry,ATL,F-G,31,29,31.4,6.6,15.8,0.42,1.0,3.4,0.295,5.6,12.5,0.453,4.2,5.2,0.809,1.7,5.2,3.6,2.4,0.4,3.7,3.0,18.5
Danielle McCray,CON,F,18,2,11.6,0.7,3.1,0.232,0.1,0.3,0.333,0.6,2.8,0.22,0.4,0.8,0.5,0.5,1.4,0.8,0.6,0.1,1.4,1.0,1.9
Nadirah McKenith,MIN,G,6,0,4.0,0.2,0.7,0.25,0.0,0.0,,0.2,0.7,0.25,0.3,0.3,1.0,0.0,0.7,0.2,0.2,0.0,0.2,0.3,0.7
Shanece McKinney,NYL,C-F,24,0,6.8,0.7,1.6,0.421,0.0,0.0,,0.7,1.6,0.421,0.5,1.0,0.5,0.8,1.4,0.3,0.1,0.2,0.3,0.9,1.8
Emma Meesseman,WAS,F,34,34,27.4,4.3,8.3,0.52,0.0,0.1,0.0,4.3,8.2,0.523,1.5,1.6,0.909,2.4,6.4,2.5,1.4,1.0,1.8,2.5,10.1
Jelena Milovanovic,WAS,F-C,16,2,11.3,1.6,4.0,0.391,0.3,1.4,0.217,1.3,2.6,0.488,0.9,1.1,0.882,0.5,1.5,0.6,0.3,0.1,1.1,0.9,4.4
